title,scenariste,dessinateur,code_barre,editeur,dewey,date_acquis,date_hors_circu,ref,cote,resume,tags
"CAP'TAINE KUCEK : T 03 L'ELU","ABOLIN","ABOLIN","1000000022285","VENTS D'OUEST","Aventure",,,102228,,,
"GRIFFU","MANCHETTE","MANCHETTE","1000000022292","CASTERMAN","Aventure",,,102229,,,
"BITUME : T 02 NORMA'S DAY","CONSTANT","CONSTANT","1000000022308","CASTERMAN","Aventure",,,102230,,,
"LES MAITRES DE L'ORGE : T 05 JULIENNE, 1950","VAN HAMME","VAN HAMME","1000000022322","GLENAT","Aventure",,,102232,,,
"LE POISSON-CLOWN : T 01 HAPPY","CHAUVEL","CHAUVEL","1000000022339","DELCOURT","Aventure",,,102233,,,
"LES FABULEUX FREAK BROTHERS : T 02","SHELTON","SHELTON","1000000022346","TETE ROCK","Humour",,,102234,,,
"LES FABULEUX FREAK BROTHERS : T 03","SHELTON","SHELTON","1000000022353","TETE ROCK","Humour",,,102235,,,
"LES PIONNIERS DU NOUVEAU MONDE : T 09 LA RIVIERE EN FLAMMES","CHARLES","ERSEL","1000000022360","GLENAT","Aventure",,,102236,,,
"ELSA : T 02 PAPILLONS SECRETS","MAKYO","MAKYO","1000000022377","GLENAT","Aventure",,,102237,,,
"NEIGE : T 09 LA CHANSON DU MUET","CONVARD","CONVARD","1000000022384","GLENAT","Fantastique",,,102238,,,
"HARRY DICKSON : T 05 L'ETRANGE LUEUR VERTE","ZANON","ZANON","1000000022391","DARGAUD","Aventure",,,102239,,,
"ZELIE NORD-SUD","","","1000000022407","LOMBARD","Aventure",,,102240,,,
"BROUGUE : T 01 GOFF","","","1000000022414","SOLEIL","Aventure",,,102241,,,
"BROUGUE : T 02 LE GRIMPEUR","","","1000000022421","SOLEIL","Aventure",,,102242,,,
"BROUGUE : T 02 LA RENARDE","","","1000000022438","SOLEIL","Aventure",,,102243,,,
"VINGT ANS APRES","VAN HAMME","VAN HAMME","1000000022445","LOMBARD","Aventure",,,102244,,,
"LANFEUST DE TROY : T 02 THANOS L'INCONGRU","ARLESTON","TARQUIN","1000000022452","SOLEIL","Fantastique",,,102245,,,
"IRISH MELODY","","","1000000022469","LOMBARD","Aventure",,,102246,,,
