title,realisateur,acteur,annee,duree,code_barre,info,dewey,date_acquis,date_hors_circu,ref,ref_adav,resume,tags
"PETIT PRINCE 4/4 (LE )","Pierre-Alain Chartier, Jérôme France","NULL","2009","156'","5000000004812","Standard 	DVD-9
Codage 	PAL
Format vidéo 	1.77, 16/9 compatible 4/3
Format audio 	Dolby Digital 5.1
Langues 	français
	
Sous-titres 	
Bonus 	Sous-titres français pour sourds et malentendants ;","Animation","2012-05-18T00:00:00.000Z",,500481,149003,"1ère, 2ème & 3ème étapes. Le Petit Prince et son renard sont perdus dans la galaxie Guidés par le serpent, ils entreprennent un voyage qui ressemble à un rêve éveillé Des découvertes qui se déroulent dans de vastes univers, véritables terres daventure",
"PIEL QUE HABITO (LA )","Pedro Almodovar","	Antonio Banderas, Elena Anaya, Marisa Paredes, Jan Cornet, Roberto Alamo, Blanca Suarez","2011","117'","5000000004829","Standard 	DVD-9
Codage 	PAL
Format vidéo 	1.85:1, 16/9 compatible 4/3
Format audio 	
Langues 	espagnol, français
	
Sous-titres 	français
Bonus 	Making of, interviews de Pedro Almodóvar et Anton","Policier/Suspense","2012-05-18T00:00:00.000Z",,500482,150446,"	Un chirurgien esthétique, travaillant à la création d'une nouvelle peau depuis la mort de sa femme, fait des essais sur une femme qu'il retient prisonnière Taillé au scalpel, un hommage vibrant au cinéma",
"POLISSE","Maïwenn Le Besco","Karin Viard, Joey Starr, Marina Fois, Nicolas Duvauchelle, Maïwenn Le Besco, Karole Rocher","2011","127'","5000000004836","Standard 	DVD-9+DVD-5
Codage 	PAL
Format vidéo 	1.85:1, 16/9 compatible 4/3
Format audio 	Dolby Digital 5.1
Langues 	français
	
Sous-titres 	
Bonus 	Sous-titres français pour sourds et malenten","Policier/Suspense","2012-05-18T00:00:00.000Z",,500483,154078,"Le quotidien des policiers de la BPM (Brigade de Protection des Mineurs) sous le regard d'une photographe mandatée par le ministère Un film choral plein de fureur qui a trouvé son public",
"TOUTES NOS ENVIES","Philippe Lioret","	Marie Gillain, Vincent Lindon, Amandine Dewasmes, Yannick Renier, Pascale Arbillot, Isabelle Renauld","2011","120'","5000000004843","Standard 	DVD-9
Codage 	PAL
Format vidéo 	2,35:1, 16/9 compatible 4/3
Format audio 	
Langues 	français
	
Sous-titres 	
Bonus 	Sous-titres français pour sourds et malentendants ; audiovision pou","Comédie dramatique","2012-05-18T00:00:00.000Z",,500484,155198,"Deux juges entrent en lutte contre le surendettement Du cinéma de résistance qui donne à voir une réalité sociale éprouvante et la belle histoire d'une rencontre entre deux êtres désenchantés",
"X-MEN 3 - L'affrontement final","Brett Ratner","Hugh Jackman, Patrick Stewart, Ian McKellen, Famke Janssen","2005","105'","5000000004850","Standard 	BD-25
Codage 	PAL
Format vidéo 	2,35:1, 16/9
Format audio 	DTS 5.1
Langues 	allemand, anglais, français
	
Sous-titres 	anglais, français, néerlandais
Bonus 	Peut contenir le DVD du fi","Science Fiction","2012-10-14T00:00:00.000Z",,500485,136447,"Pour la première fois, les mutants ont le choix : conserver ce qui fait leur caractère unique ou bien abandonner leurs pouvoirs et devenir des humains à part entière Emouvant et spectaculaire",
"CASE DEPART","Thomas Ngijol, Fabrice Eboue, Lionel Steketee","	Fabrice Eboue, Thomas Ngijol, Stefi Celma, Eriq Ebouaney, Etienne Chicot, Catherine Hosmalin","2010","103'","5000000004867","Standard 	DVD-9
Codage 	PAL
Format vidéo 	2,35:1, 16/9 compatible 4/3
Format audio 	Dolby Digital 5.1
Langues 	français
	
Sous-titres 	
Bonus 	Making of (26'), bêtisier ( 5'), scènes coupées (1","Comédie dramatique","2012-05-18T00:00:00.000Z",,500486,148861,"Pour avoir déchiré l'acte d'affranchissement de leurs ancêtres, deux demi-frères sont propulsés au XVIIIe siècle en pleine période d'esclavage Un premier film drôle mais pas seulement, intelligent et réfléchi",
