title,code_barre,date_acquis,date_hors_circu,ref,tags
"ORDINATEUR INDIVIDUEL : SEPTEMBRE 2003 n.153","4092003090009","2003-08-29T00:00:00.000Z",,400113,
"100 IDÉES JARDIN : AUTOMNE 2003 n.19","4072003110006","2003-08-29T00:00:00.000Z",,400114,
"ACTION AUTO MOTO : SEPTEMBRE 2003 n.104","4012003090007","2003-09-02T00:00:00.000Z",,400115,
"DÉTOURS EN FRANCE : SEPTEMBRE 2003","4042003090004","2003-09-05T00:00:00.000Z",,400116,
"SCIENCES ET AVENIR : SEPTEMBRE 2003","4112003090004","2003-09-05T00:00:00.000Z",,400117,
"CUISINE ET VINS DE FRANCE : HORS SERIE 2003 n.10 Spécial Vins","4032003000004","2003-09-05T00:00:00.000Z",,400118,
"60 MILLIONS DE CONSOMMATEURS : SEPTEMBRE 2003 n.375","40820030900010","2003-09-11T00:00:00.000Z",,400121,
"L'ÉCOLE DES PARENTS : SEPTEMBRE 2003","4052003090003","2003-09-12T00:00:00.000Z",,400122,
"QUE CHOISIR : OCTOBRE 2003 n408","4102003100001","2003-09-23T00:00:00.000Z",,400123,
"STUDIO MAGAZINE : DECEMBRE 2003 n.195","4122003120007","2003-09-23T00:00:00.000Z",,400125,
"STUDIO MAGAZINE : OCTOBRE 2003 n193","4122003100009","2003-09-23T00:00:00.000Z",,400126,
"SCIENCES ET AVENIR : OCTOBRE 2003 n.680","41120031000010","2003-09-25T00:00:00.000Z",,400128,
"ART ET DÉCORATION : OCTOBRE 2003 n.403","4022003100002","2003-09-26T00:00:00.000Z",,400129,
"GÉO : OCTOBRE 2003 n296","4062003100008","2003-09-26T00:00:00.000Z",,400130,
"60 MILLIONS DE CONSOMMATEURS : OCTOBRE 2003 n.376","4082003100006","2003-09-26T00:00:00.000Z",,400131,
"ACTION AUTO MOTO : OCTOBRE 2003 n105","4012003100003","2003-09-26T00:00:00.000Z",,400132,
"STUDIO MAGAZINE : MARS 2003 N° 187","4122003030009","2003-10-03T00:00:00.000Z",,400133,
"ORDINATEUR INDIVIDUEL : OCTOBRE 2003 n.154","4092003100005","2003-10-10T00:00:00.000Z",,400134,
