title,auteur,code_barre,dewey,date_acquis,date_hors_circu,ref,cote,resume,tags
"MESSIEURS LES ENFANTS","PENNAC D.","2000000021720","Romans français",,,202172,"NULL",,
"NAISSANCE DES FANTOMES","DARRIEUSSECQ M.","2000000021737","Romans français",,,202173,"NULL",,
"LE CHRISTI","PILHES R. V.","2000000021744","Romans français",,,202174,"NULL",,
"LA BATAILLE","RAMBAUD P.","2000000021751","Romans français",,,202175,"NULL",,
"SOINS MORTELS","GOLDBERG L.","2000000021768",,,,202176,"NULL",,
"FONDATION EN PERIL","ASIMOV I.","2000000021775",,,,202177,"NULL",,
"TRANSGRESSION","DUNANT S.","2000000021782",,,,202178,"NULL",,
"LA PREMIERE GORGEE DE BIERE","DELERM P.","2000000021799","Romans français",,,202179,"NULL",,
"LES VOLEURS DE BEAUTE","BRUCKNER P.","2000000021805","Romans français",,,202180,"NULL",,
"LE MOINEAU DE DIEU","RUSSEL M. D.","2000000021812","Romans anglais",,,202181,"NULL",,
"VIE SECRETE","QUIGNARD P.","2000000021829","Romans français",,,202182,"NULL",,
"HAPPY BIRTHDAY SARAH","QUEFFELEC Y.","2000000021836","Romans français",,,202183,"NULL",,
"ROSE MADDER","KING S.","2000000021843",,,,202184,"NULL",,
"SORTIE DE ROUTE","AMIDON S.","2000000021850",,,,202185,"NULL",,
"INTENSITE","KOONTZ D.","2000000021867",,,,202186,"NULL",,
"HADRIANA DANS TOUS MES REVES","DEPESTRE R.","2000000021874","Romans français",,,202187,"NULL",,
"FOLIE DOUCE","HARANG J. B.","2000000021881","Romans français",,,202188,"NULL",,
"REUBEN","WIDEMAN J. E.","2000000021898","Romans anglais",,,202189,"NULL",,
"LES TALENTS DE XANADU","STURGEON T.","2000000021904",,,,202190,"NULL",,
"LE DIABLE ET LE BON DIEU","SARTRE J. P.","2000000021911","Romans français",,,202191,"NULL",,
"LES PRETRES-ROIS DE GOR/LES NOMADES DE GOR","NORMAN J.","2000000021928",,,,202192,"NULL",,
"HISTOIRES TERRIFIANTES","HITCHCOCK A.","2000000021935",,,,202193,"NULL",,
"HISTOIRES EPOUVANTABLES","HITCHCOCK A.","2000000021942",,,,202194,"NULL",,
"LE ROI DU RHUM","GAILLARD R.","2000000021959","Romans français",,,202195,"NULL",,
"LA MAISON DU SOMMEIL","COE JONATHAN","2000000021966","Romans anglais",,,202196,"NULL",,
"LA CLIENTE","ASSOULINE PIERRE","2000000021973","Romans français",,,202197,"NULL",,
"LE SOIR ET LE MATIN SUIVANT","DE CASTRO EVE","2000000021980","Romans français",,,202198,"NULL",,
"CINQ PHOTOS DE MA FEMME","DESARTHE AGNES","2000000021997","Romans français",,,202199,"NULL",,
"LA MALADIE DE SACHS","WINCKLER MARTIN","2000000022000","Romans français",,,202200,"NULL",,
"COMMENT VOYAGER AVEC UN SAUMON","ECO UMBERTO","2000000022017","Romans italiens",,,202201,"NULL",,
"DALVA","HARRISON JIM","2000000022024","Romans anglais",,,202202,"NULL",,
"LA ROUTE DU RETOUR","HARRISON JIM","2000000022031","Romans anglais",,,202203,"NULL",,
"LES AVENTURES DE JOHNNY MAXWELL","PRATCHETT TERRY","2000000022048",,,,202204,"NULL",,
"L'HOMME QUI MURMURAIT A L'OREILL","EVANS NICHOLAS","2000000022055","Romans anglais",,,202205,"NULL",,
"VU","JONCOUR SERGE","2000000022062","Romans français",,,202206,"NULL",,
"SANS MOI","DESPLECHIN MARIE","2000000022079","Romans français",,,202207,"NULL",,
"J'APPRENDS L'ALLEMAND","LACHAUD DENIS","2000000022086","Romans français",,,202208,"NULL",,
"TU,MIO","DE LUCA ERRI","2000000022093","Romans italiens",,,202209,"NULL",,
"LE PERE DE NOS PERES","WERBER BERNARD","2000000022109",,,,202210,"NULL",,
"PLUS QUE VOUS N'EN SAVEZ","KELMAN JUDITH","2000000022116",,,,202211,"NULL",,
"CRIMES EN SERIE","ELLROY JAMES","2000000022123",,,,202212,"NULL",,
"TU M'APPARTIENS","HIGGINS CLARK MARY","2000000022130",,,,202213,"NULL",,
"REGENTS PARK","RENDELL RUTH","2000000022147",,,,202214,"NULL",,
"LA VILLE DES FRELONS","CORNWELL P.","2000000022154",,,,202215,"NULL",,
"LES PARTICULES ELEMENTAIRES","HOUELLEBECQ MICHEL","2000000022161","Romans français",,,202216,"NULL",,
"NU COUCHE","DAN FRANCK","2000000022192","Romans français",,,202219,"NULL",,
"LES MEMOIRES DE CLEOPATRE. vol 1","GEORGE M.","2000000022208","Romans anglais",,,202220,"NULL",,
"LE MANUSCRIT DE PORT EBENE","BONA D.","2000000022215","Romans français",,,202221,"NULL",,
"AUTUMN","DELERM P.","2000000022222","Romans français",,,202222,"NULL",,
"LE JOUR AVANT LE LENDEMAIN","RIEL J.","2000000022239",,,,202223,"NULL",,
"LA CHAMBRE SOURDE","HAUSSEL I.","2000000022246","Romans français",,,202224,"NULL",,
"CORPS ETRANGER","VAN CAUWELAERT D.","2000000022253","Romans français",,,202225,"NULL",,
"UNE SI LONGUE NUIT","HIGGINS CLARK M.","2000000022260",,,,202226,"NULL",,
"CONFIDENCE POUR CONFIDENCE","CONSTANT P.","2000000022277","Romans français",,,202227,"NULL",,
"MEROE","ROLIN O.","2000000022284","Romans français",,,202228,"NULL",,
"UNE POIGNEE DE GENS","WIAZEMSKY A.","2000000022291","Romans français",,,202229,"NULL",,
"SON NOM D'AVANT","LENOIR H.","2000000022307","Romans français",,,202230,"NULL",,
"LE LOUP MONGOL","HOMERIC","2000000022314","Romans français",,,202231,"NULL",,
"EXISTE EN BLANC","BLIER B.","2000000022321","Romans français",,,202232,"NULL",,
"LE DIT DE TIANYI","CHENG F.","2000000022338","Romans français",,,202233,"NULL",,
"DROIT DE TRAQUE","CORBIN H.","2000000022345",,,,202234,"NULL",,
"NANCY 1900. RAYONNEMENT DE L'ART NOUVEAU","KLOPP","2000000022352",,,,202235,"NULL",,
"ART NOUVEAU : Métal en fleur (K7v)","FORGET P.","2000000022369",,,,202236,"NULL",,
"ART NOUVEAU : De bois en ligne (K7v)","FORGET P.","2000000022376",,,,202237,"NULL",,
"ART NOUVEAU : Demoiselles de verre (K7v)","FORGET P.","2000000022383",,,,202238,"NULL",,
"ART NOUVEAU : Lux in vitraux (K7v)","FORGET P.","2000000022390",,,,202239,"NULL",,
"LA COURTE PAILLE","DORIN F.","2000000022406","Romans français",,,202240,"NULL",,
"L'AUBERGE DES PAUVRES","BEN JELLOUN T.","2000000022413","Romans français",,,202241,"NULL",,
"DES INCONNUES","MODIANO P.","2000000022420","Romans français",,,202242,"NULL",,
"AUX FRUITS DE LA PASSION","PENNAC D.","2000000022437","Romans français",,,202243,"NULL",,
"ALICE OU LE PIANO DES ANGES : CONTE GASTRONOMIQUE","GODARD O.","2000000022444","Romans français",,,202244,"NULL",,
"ENDYMION","SIMMONS D.","2000000022451",,,,202245,"NULL",,
"UNE VEUVE DE PAPIER","IRVING J.","2000000022468","Romans anglais",,,202246,"NULL",,
"LE SOLEIL DES MORTS","CLAVEL B.","2000000022475","Romans français",,,202247,"NULL",,
"LES THANATONAUTES","WERBER B.","2000000022482",,,,202248,"NULL",,
"COMBUSTION","CORNWELL P.","2000000022499",,,,202249,"NULL",,
"BABYLON BABIES","DANTEC M.G.","2000000022505",,,,202250,"NULL",,
"CUBA LIBRE ! 1955-1959","DEFORGES R.","2000000022512","Romans français",,,202251,"NULL",,
"L'EVEIL D'ENDYMION","SIMMONS D.","2000000022529",,,,202252,"NULL",,
"LA CONFERENCE DE CINTEGABELLE","SALVAYRE L.","2000000022536","Romans français",,,202253,"NULL",,
"LE LUTHIER DE MIRECOURT","CRESSANGES J.","2000000022543","Romans français",,,202254,"NULL",,
"LE MAL DE MER","DARRIEUSSECQ M.","2000000022550","Romans français",,,202255,"NULL",,
"LA TEMPETE DU SIECLE","KING S.","2000000022567",,,,202256,"NULL",,
"L'ANNEE DU TIGRE","SOLLERS P.","2000000022574","Romans français",,,202257,"NULL",,
"LE DESIR FANTOME","MARSAN H.","2000000022581","Romans français",,,202258,"NULL",,
"NANCY LA VILLE DE STANISLAS : ITINERAIRES DU PATRIMOINE","","2000000022598",,,,202259,"NULL",,
"MANUELLA","LABRO P.","2000000022604","Romans français",,,202260,"NULL",,
"UN HOMME UN VRAI","WOLFE T.","2000000022611","Romans anglais",,,202261,"NULL",,
"DELIRE D'AMOUR","MAC EWAN I.","2000000022628","Romans anglais",,,202262,"NULL",,
"PLEINE LUNE","MUNOZ MOLINA A.","2000000022635","Romans espagnols",,,202263,"NULL",,
"ET NOUS NOUS REVERRONS","HIGGINS CLARK M.","2000000022642",,,,202264,"NULL",,
"LA DEMI-PENSIONNAIRE","VAN CAUWELAERT D.","2000000022659","Romans français",,,202265,"NULL",,
"LES PETITS BONHEURS","CLAVEL B.","2000000022666","Romans français",,,202266,"NULL",,
"SAC D'OS","KING S.","2000000022673",,,,202267,"NULL",,
"LE SOLEIL DES MOURANTS","IZZO J.C.","2000000022680","Romans français",,,202268,"NULL",,
"UN ENDROIT Où ALLER","HUSTON N.","2000000022697","Romans français",,,202269,"NULL",,
"L'EMPREINTE DE L'ANGE","HUSTON N.","2000000022703","Romans français",,,202270,"NULL",,
"LES SAISONS EN VENDEE","VIOLLIER Y.","2000000022710","Romans français",,,202271,"NULL",,
"LE RAPPORT GABRIEL","D'ORMESSON J.","2000000022727","Romans français",,,202272,"NULL",,
"LAME DE FONDS","WALTERS M.","2000000022734",,,,202273,"NULL",,
"UN PETIT CHIEN JAUNE","MOSLEY W.","2000000022741",,,,202274,"NULL",,
"LE PORTIQUE","DELERM P.","2000000022758","Romans français",,,202275,"NULL",,
"TERRIBLES TSARINES (MANQUE DES PAGES : À JETER)","TROYAT H.","2000000022765",,,,202276,"NULL",,
"HASARD","LE CLEZIO J.M.G.","2000000022772","Romans français",,,202277,"NULL",,
"TADJOURA","DENIAU J.F.","2000000022789","Romans français",,,202278,"NULL",,
"AU CHAT ET A LA SOURIS","PATTERSON J.","2000000022796",,,,202279,"NULL",,
"LE HARCELEMENT MORAL","HIRIGOYEN M.F.","2000000022802",,,,202280,"NULL",,
"LE FLEUVE ET L'ENFANT","OFFUT C.","2000000022819","Romans anglais",,,202281,"NULL",,
"TOMBOUCTOU","AUSTER P.","2000000022826","Romans anglais",,,202282,"NULL",,
"EN ATTENDANTS LE VOTE DES BETES SAUVAGES","KOUROMA A.","2000000022833","Romans français",,,202283,"NULL",,
"ECOLE DE NANCY","FLORENTIN R.","2000000022840",,,,202284,"NULL",,
"LES ANNEAUX DE SATURNE","SEBALD W.G.","2000000022857","Romans allemands",,,202285,"NULL",,
"MON GRAND APPARTEMENT","OSTER C.","2000000022864","Romans français",,,202286,"NULL",,
"ROMAN FLEUVE","PIAZZA A.","2000000022871",,,,202287,"NULL",,
"UNE DESOLATION","REZA Y.","2000000022888","Romans français",,,202288,"NULL",,
"JE M'EN VAIS (GONCOURT 1999)","ECHENOZ J.","2000000022895","Romans français",,,202289,"NULL",,
"L'ENIGME DU CLOU CHINOIS","VAN GULIK R.","2000000022901",,,,202290,"NULL",,
"STUPEUR ET TREMBLEMENTS","NOTHOMB A.","2000000022918","Romans français",,,202291,"NULL",,
"LE ROI DES HALLES","BENZONI J.","2000000022925","Romans français",,,202292,"NULL",,
"LE PRISONNIER MASQUE","BENZONI J.","2000000022932","Romans français",,,202293,"NULL",,
"LA GRIFFE DU SUD","CORNWELL P.","2000000022949",,,,202294,"NULL",,
"JEUX DE MAINS","RENDELL R.","2000000022956",,,,202295,"NULL",,
"ANCHISE (FEMINA 1999)","DESBIOLLES M.","2000000022963","Romans français",,,202296,"NULL",,
"L'ENFANT LEOPARD (RENAUDOT 1999)","PICOULY D.","2000000022970","Romans français",,,202297,"NULL",,
"LAURA BRAMS","CAUVIN P.","2000000022987","Romans français",,,202298,"NULL",,
"AUTOBIOGRAPHIE D'UN AMOUR","JARDIN A.","2000000023007","Romans français",,,202300,"NULL",,
"C'EST COMMENT L'AMERIQUE","McCOURT FRANK","2000000023014","Romans anglais",,,202301,"NULL",,
"LES HERITIERES : ALINE","DUQUESNE J.","2000000023021","Romans français",,,202302,"NULL",,
"LA FILLE DE L'HOMME AU PIANO","FINDLEY T.","2000000023038","Romans anglais",,,202303,"NULL",,
"VERONIKA DECIDE DE MOURIR","COELHO P.","2000000023045","Romans espagnols",,,202304,"NULL",,
"LES HEURES","CUNNINGHAM M.","2000000023052","Romans anglais",,,202305,"NULL",,
"TERRASSE A ROME","QUIGNARD P.","2000000023069","Romans français",,,202306,"NULL",,
"CHAQUE JOUR EST UN ADIEU","REMOND A.","2000000023076","Romans français",,,202307,"NULL",,
"FONDATION : 1 LE DECLIN DE TRANTOR","ASIMOV I.","2000000023083",,,,202308,"NULL",,
"FONDATION : 2 VERS UN NOUVEL EMPIRE","ASIMOV I.","2000000023090",,,,202309,"NULL",,
"L'EMPIRE DES ANGES","WERBER B.","2000000023106",,,,202310,"NULL",,
"BALZAC ET LA PETITE TAILLEUSE CHINOISE","SIJIE D.","2000000023120","Romans français",,,202312,"NULL",,
"LES CHENES D'OR","SIGNOL C.","2000000023137","Romans français",,,202313,"NULL",,
"ET SI C'ETAIT VRAI","LEVY M.","2000000023144","Romans français",,,202314,"NULL",,
"LA PETITE FILLE QUI AIMAIT TOM GORDON","KING S.","2000000023151",,,,202315,"NULL",,
"LE DERNIER DES MOZART","TOURNIER J.","2000000023168","Romans français",,,202316,"NULL",,
"NICOLAS","FERNANDEZ D.","2000000023175","Romans français",,,202317,"NULL",,
"JE VOUDRAIS QUE QUELQU'UN M'ATTENDE","GAVALDA A.","2000000023182","Romans français",,,202318,"NULL",,
"LES QUATRE VERITES","LODGE D.","2000000023199","Romans anglais",,,202319,"NULL",,
"HANNIBAL","HARRIS T.","2000000023205",,,,202320,"NULL",,
"FONDATION ET CHAOS","BEAR G.","2000000023212",,,,202321,"NULL",,
"PITCH","BONGRAND C.","2000000023229","Romans français",,,202322,"NULL",,
"DROLES D'OISEAUX","COLWIN L.","2000000023236","Romans anglais",,,202323,"NULL",,
"INCONNU A CETTE ADRESSE","TAYLOR K.","2000000023243","Romans anglais",,,202324,"NULL",,
"MEDECIN-CHEF A LA PRISON DE LA SANTE","VASSEUR V.","2000000023250",,,,202325,"NULL",,
"LE SANVINTE","JEANLOU B.","2000000023267","Romans français",,,202326,"NULL",,
"LE PERIPLE DE BALDASSARE","MAALOUF A.","2000000023274","Romans français",,,202327,"NULL",,
"CHOCOLAT","HARRIS J.","2000000023281","Romans anglais",,,202328,"NULL",,
"LA PIERRE DE LUMIERE : T1","JACQ C.","2000000023298","Romans français",,,202329,"NULL",,
"LA PIERRE DE LUMIERE : T2","JACQ C.","2000000023304","Romans français",,,202330,"NULL",,
"SAGE COMME UNE IMAGE","RENDELL R.","2000000023311",,,,202331,"NULL",,
"SOLEDAD","JANICOT S.","2000000023328","Romans français",,,202332,"NULL",,
"LE SALON DES PETITES VERTUS","LAPIERRE A.","2000000023335","Romans français",,,202333,"NULL",,
"NI CHAUD NI FROID","WALTERS M.","2000000023342",,,,202334,"NULL",,
"LA BALLERINE DE ST PETERSBOURG","TROYAT H.","2000000023359","Romans français",,,202335,"NULL",,
"AVANT DE TE DIRE ADIEU","HIGGINS CLARK M.","2000000023366",,,,202336,"NULL",,
"LAURIER BLANC","FITCH J.","2000000023373","Romans anglais",,,202337,"NULL",,
"PORTRAIT D'UN HOMME HEUREUX","ORSENNA  E.","2000000023380","Romans français",,,202338,"NULL",,
"FILLE DU DESTIN","ALLENDE I.","2000000023397","Romans espagnols",,,202339,"NULL",,
"QUATUOR","SETH V.","2000000023403","Romans anglais",,,202340,"NULL",,
