96;"E1972";"CD";2014-07-31;2014-08-14
193;"F940";"CD";2006-09-29;2006-10-13
196;"267";"livres";2009-12-21;2010-01-18
217;"422";"DVD";2014-07-08;2014-07-22
262;"1170";"livres";2014-04-22;2014-05-20
262;"1381";"livres";2014-07-25;2014-08-22
62;"AED2014JIN";"revues";2014-07-22;2014-07-29
40;"ADJ2014JUI";"revues";2014-07-29;2014-08-05
193;"F092";"CD";2006-09-29;2006-10-13
193;"F396";"CD";2006-09-29;2006-10-13
244;"1282";"livres";2010-09-28;2010-10-26
196;"383";"livres";2008-10-16;2008-11-13
196;"1023";"livres";2009-12-21;2010-01-18
62;"4560";"livres";2014-07-22;2014-08-19
5;"455";"DVD";2014-08-19;2014-09-02
193;"F342";"CD";2006-09-29;2006-10-13
21;"4730";"livres";2014-08-08;2014-09-05
166;"3339";"BD";2014-08-19;2014-09-03
193;"F435";"CD";2006-10-04;2006-10-18
196;"1203";"livres";2009-12-21;2010-01-18
193;"F873";"CD";2006-09-29;2006-10-13
58;"B022";"CD";2014-07-08;2014-07-22
196;"1355";"livres";2009-12-21;2010-01-18
262;"1545";"livres";2014-04-22;2014-05-20
196;"4202";"livres";2008-10-16;2008-11-13
193;"F332";"CD";2006-09-29;2006-10-13
193;"F706";"CD";2006-09-29;2006-10-13
193;"F520";"CD";2006-09-29;2006-10-13
193;"F586";"CD";2006-09-29;2006-10-13
193;"F269";"CD";2006-09-29;2006-10-13
193;"F273";"CD";2006-09-29;2006-10-13
193;"F266";"CD";2006-09-29;2006-10-13
193;"F704";"CD";2006-09-29;2006-10-13
234;"209";"DVD";2014-05-13;2014-05-27
262;"336";"livres";2014-07-31;2014-08-28
262;"1612";"livres";2014-07-31;2014-08-28
244;"4246";"livres";2010-09-28;2010-10-26
193;"F120";"CD";2006-10-04;2006-10-18
193;"F395";"CD";2006-10-04;2006-10-18
11;"3417";"BD";2014-08-19;2014-09-03
5;"547";"DVD";2014-08-26;2014-09-09
36;"4682";"livres";2014-06-20;2014-07-18
193;"F851";"CD";2006-10-04;2006-10-18
196;"1619";"livres";2009-12-21;2010-01-18
262;"1400";"livres";2014-04-22;2014-05-20
199;"4167";"livres";2010-12-14;2011-01-11
193;"F709";"CD";2006-09-29;2006-10-13
243;"4593";"livres";2014-07-29;2014-08-26
193;"F462";"CD";2006-09-29;2006-10-13
193;"F784";"CD";2006-10-04;2006-10-18
3;"4693";"livres";2014-07-09;2014-08-06
193;"F177";"CD";2006-10-04;2006-10-18
193;"F184";"CD";2006-09-29;2006-10-13
217;"2488";"livres";2014-07-08;2014-08-05
193;"F478";"CD";2006-09-29;2006-10-13
96;"2967";"BD";2014-07-31;2014-08-15
52;" 4364";"livres";2010-01-05;2010-02-02
262;"246";"livres";2014-04-22;2014-05-20
204;"276";"DVD";2014-08-12;2014-08-26
193;"F800";"CD";2006-09-29;2006-10-13
193;"F817";"CD";2006-09-29;2006-10-13
193;"F930";"CD";2006-09-29;2006-10-13
193;"F548";"CD";2006-09-29;2006-10-13
193;"F158";"CD";2006-09-29;2006-10-13
193;"F883";"CD";2006-09-29;2006-10-13
193;"F232";"CD";2006-09-29;2006-10-13
193;"F731";"CD";2006-09-29;2006-10-13
193;"F829";"CD";2006-09-29;2006-10-13
193;"F828";"CD";2006-09-29;2006-10-13
193;"F825";"CD";2006-09-29;2006-10-13
193;"F437";"CD";2006-09-29;2006-10-13
160;"4674";"livres";2014-06-17;2014-07-15
193;"F469";"CD";2006-09-29;2006-10-13
193;"F441";"CD";2006-09-29;2006-10-13
193;"F672";"CD";2006-09-29;2006-10-13
193;"A021";"CD";2006-09-29;2006-10-13
193;"A199";"CD";2006-09-29;2006-10-13
193;"A310";"CD";2006-09-29;2006-10-13
193;"A243";"CD";2006-09-29;2006-10-13
193;"A187";"CD";2006-09-29;2006-10-13
193;"A495";"CD";2006-09-29;2006-10-13
193;"A146";"CD";2006-09-29;2006-10-13
193;"A137";"CD";2006-09-29;2006-10-13
193;"A089";"CD";2006-09-29;2006-10-13
193;"A273";"CD";2006-09-29;2006-10-13
193;"A407";"CD";2006-09-29;2006-10-13
193;"A270";"CD";2006-09-29;2006-10-13
193;"A285";"CD";2006-09-29;2006-10-13
193;"A230";"CD";2006-09-29;2006-10-13
193;"A342";"CD";2006-09-29;2006-10-13
193;"A115";"CD";2006-09-29;2006-10-13
193;"A267";"CD";2006-09-29;2006-10-13
193;"A297";"CD";2006-09-29;2006-10-13
193;"A161";"CD";2006-09-29;2006-10-13
193;"A197";"CD";2006-09-29;2006-10-13
193;"A302";"CD";2006-09-29;2006-10-13
193;"A311";"CD";2006-09-29;2006-10-13
193;"A235";"CD";2006-09-29;2006-10-13
193;"A141";"CD";2006-09-29;2006-10-13
193;"A095";"CD";2006-09-29;2006-10-13
193;"A073";"CD";2006-09-29;2006-10-13
193;"A072";"CD";2006-09-29;2006-10-13
193;"A281";"CD";2012-06-12;2012-06-26
193;"A079";"CD";2006-09-29;2006-10-13
193;"A157";"CD";2006-09-29;2006-10-13
193;"A252";"CD";2006-09-29;2006-10-13
193;"A294";"CD";2006-09-29;2006-10-13
193;"A032";"CD";2006-09-29;2006-10-13
193;"A315";"CD";2006-09-29;2006-10-13
193;"A381";"CD";2006-09-29;2006-10-13
193;"A500";"CD";2006-09-29;2006-10-13
193;"A112";"CD";2006-09-29;2006-10-13
193;"A353";"CD";2006-09-29;2006-10-13
193;"F553";"CD";2006-10-04;2006-10-18
262;"1707";"livres";2014-04-22;2014-05-20
193;"F401";"CD";2006-10-04;2006-10-18
193;"F411";"CD";2006-10-04;2006-10-18
193;"A085";"CD";2006-10-04;2006-10-18
193;"A479";"CD";2006-10-04;2006-10-18
193;"A283";"CD";2006-10-04;2006-10-18
160;"4492";"livres";2014-06-17;2014-07-15
234;"3410";"BD";2014-07-22;2014-08-06
193;"A114";"CD";2006-10-04;2006-10-18
193;"A123";"CD";2006-10-04;2006-10-18
193;"A416";"CD";2006-10-04;2006-10-18
193;"A319";"CD";2006-10-04;2006-10-18
193;"A370";"CD";2006-10-04;2006-10-18
193;"A006";"CD";2006-10-04;2006-10-18
193;"A109";"CD";2006-10-04;2006-10-18
193;"A355";"CD";2006-10-04;2006-10-18
193;"A545";"CD";2006-10-04;2006-10-18
193;"A439";"CD";2006-10-04;2006-10-18
193;"A179";"CD";2006-10-04;2006-10-18
193;"A322";"CD";2006-10-04;2006-10-18
193;"A134";"CD";2006-10-04;2006-10-18
193;"A259";"CD";2006-10-04;2006-10-18
193;"A104";"CD";2012-06-12;2012-06-26
193;"A071";"CD";2006-10-04;2006-10-18
193;"A130";"CD";2006-10-04;2006-10-18
193;"A371";"CD";2006-10-04;2006-10-18
193;"A191";"CD";2006-10-04;2006-10-18
193;"A185";"CD";2006-10-04;2006-10-18
193;"A059";"CD";2006-10-04;2006-10-18
193;"A145";"CD";2006-10-04;2006-10-18
193;"A026";"CD";2006-10-04;2006-10-18
193;"A234";"CD";2006-10-04;2006-10-18
193;"A357";"CD";2006-10-04;2006-10-18
76;"166";"livres";2014-07-28;2014-08-25
262;"1124";"livres";2014-08-26;2014-09-23
193;"A497";"CD";2006-10-04;2006-10-18
193;"A401";"CD";2006-10-04;2006-10-18
193;"A253";"CD";2006-10-04;2006-10-18
193;"A096";"CD";2006-10-04;2006-10-18
70;"4701";"livres";2014-07-08;2014-08-05
193;"A305";"CD";2006-10-04;2006-10-18
193;"A316";"CD";2006-10-04;2006-10-18
193;"A345";"CD";2006-10-04;2006-10-18
193;"A180";"CD";2006-10-04;2006-10-18
193;"A385";"CD";2006-10-04;2006-10-18
193;"A576";"CD";2006-10-04;2006-10-18
193;"A314";"CD";2012-06-12;2012-06-26
193;"A139";"CD";2006-10-04;2006-10-18
193;"A318";"CD";2006-10-04;2006-10-18
193;"A171";"CD";2006-10-04;2006-10-18
193;"A233";"CD";2006-10-04;2006-10-18
193;"A399";"CD";2006-10-04;2006-10-18
193;"A113";"CD";2006-10-04;2006-10-18
193;"A110";"CD";2006-10-04;2006-10-18
193;"A144";"CD";2006-10-04;2006-10-18
193;"A352";"CD";2006-10-04;2006-10-18
193;"A290";"CD";2006-10-04;2006-10-18
193;"A111";"CD";2006-10-04;2006-10-18
193;"A536";"CD";2006-10-04;2006-10-18
193;"A402";"CD";2006-10-04;2006-10-18
193;"A538";"CD";2006-10-04;2006-10-18
193;"A413";"CD";2006-10-04;2006-10-18
261;"539";"DVD";2014-08-26;2014-09-09
193;"A163";"CD";2006-10-04;2006-10-18
193;"A175";"CD";2006-10-04;2006-10-18
193;"A070";"CD";2006-10-04;2006-10-18
193;"A379";"CD";2006-10-04;2006-10-18
193;"A172";"CD";2006-10-04;2006-10-18
193;"A461";"CD";2006-10-04;2006-10-18
193;"A257";"CD";2006-10-04;2006-10-18
193;"A131";"CD";2006-10-04;2006-10-18
193;"A086";"CD";2006-10-04;2006-10-18
193;"A331";"CD";2006-10-04;2006-10-18
193;"A494";"CD";2006-10-04;2006-10-18
193;"F157";"CD";2006-10-04;2006-10-18
193;"F826";"CD";2006-10-04;2006-10-18
193;"F683";"CD";2006-10-04;2006-10-18
193;"F171";"CD";2006-10-04;2006-10-18
193;"F156";"CD";2006-10-04;2006-10-18
193;"F504";"CD";2006-10-04;2006-10-18
193;"F656";"CD";2006-10-04;2006-10-18
193;"F890";"CD";2006-10-04;2006-10-18
193;"F707";"CD";2006-10-04;2006-10-18
193;"F268";"CD";2006-10-04;2006-10-18
262;"817";"livres";2014-07-31;2014-08-28
193;"F270";"CD";2006-10-04;2006-10-18
193;"F213";"CD";2006-10-04;2006-10-18
193;"F516";"CD";2006-10-04;2006-10-18
193;"F494";"CD";2006-10-04;2006-10-18
96;"3115";"BD";2014-07-29;2014-08-13
193;"F127";"CD";2006-10-04;2006-10-18
193;"F110";"CD";2006-10-04;2006-10-18
262;"2044";"livres";2014-04-22;2014-05-20
76;"654";"livres";2014-07-28;2014-08-25
76;"249";"livres";2014-07-28;2014-08-25
262;"1318";"livres";2014-08-26;2014-09-23
23;"543";"DVD";2014-08-26;2014-09-09
262;"1793";"livres";2014-08-26;2014-09-23
262;"2190";"livres";2014-08-26;2014-09-23
40;"F503";"CD";2014-07-29;2014-08-12
40;"468";"DVD";2014-07-29;2014-08-12
21;"2511";"livres";2014-08-08;2014-09-05
262;"1838";"livres";2014-08-26;2014-09-23
62;"4590";"livres";2014-07-22;2014-08-19
130;"GEO2014JIN";"revues";2014-07-29;2014-08-05
196;"2325";"livres";2006-11-17;2016-12-15
196;"358";"livres";2006-11-17;2016-12-15
196;"1646";"livres";2006-11-17;2016-12-15
196;"451";"livres";2006-11-17;2016-12-15
196;"1061";"livres";2006-11-17;2016-12-15
196;"547";"livres";2006-11-17;2016-12-15
196;"443";"livres";2006-11-17;2016-12-15
196;"516";"livres";2006-11-17;2016-12-15
196;"116";"livres";2006-11-17;2016-12-15
196;"1431";"livres";2006-11-17;2006-12-15
196;"2468";"livres";2006-11-17;2016-12-15
196;"196";"livres";2006-11-17;2016-12-15
196;"61";"livres";2006-11-17;2016-12-15
196;"2351";"livres";2006-11-17;2016-12-15
196;"1547";"livres";2006-11-17;2016-12-15
196;"2457";"livres";2006-11-17;2016-12-15
196;"2439";"livres";2006-11-17;2016-12-15
196;"1069";"livres";2006-11-17;2016-12-15
196;"291";"livres";2006-11-17;2016-12-15
196;"391";"livres";2006-11-17;2016-12-15
196;"1348";"livres";2006-11-17;2016-12-15
196;"1043";"livres";2006-11-17;2016-12-15
196;"1869";"livres";2006-11-17;2016-12-15
196;"20";"livres";2006-11-17;2016-12-15
196;"462";"livres";2006-11-17;2016-12-15
196;"1266";"livres";2006-11-17;2016-12-15
262;"491";"livres";2014-08-26;2014-09-23
231;"1594";"livres";2013-11-19;2013-12-17
29;"4228";"livres";2007-03-27;2007-04-24
262;"2023";"livres";2014-04-22;2014-05-20
36;"2016";"livres";2014-07-08;2014-08-05
158;"4165";"livres";2014-08-05;2014-09-02
262;"395";"livres";2014-04-22;2014-05-20
244;"1643";"livres";2010-09-28;2010-10-26
199;"4163";"livres";2012-04-10;2012-05-08
36;"1662";"BD";2014-06-27;2014-07-12
262;"1974";"livres";2014-04-22;2014-05-20
127;"4388";"livres";2014-08-19;2014-09-16
196;"2433";"livres";2008-10-16;2008-11-13
262;"251";"livres";2014-04-22;2014-05-20
262;"825";"livres";2014-08-26;2014-09-23
262;"1852";"livres";2014-08-26;2014-09-23
262;"1877";"livres";2014-04-22;2014-05-20
217;"4667";"livres";2014-07-08;2014-08-05
262;"767";"livres";2014-04-22;2014-05-20
83;"F2136";"CD";2014-05-23;2014-06-06
197;" 4179";"livres";2008-03-18;2008-04-15
265;"2903";"BD";2014-06-10;2014-06-25
40;"60M2014JUI";"revues";2014-07-29;2014-08-05
196;"2528";"livres";2008-10-16;2008-11-13
196;"1279";"livres";2008-10-16;2008-11-13
266;"4645";"livres";2014-08-05;2014-09-02
262;"69";"livres";2014-04-22;2014-05-20
166;"4155";"livres";2014-08-19;2014-09-16
244;"4245";"livres";2010-09-28;2010-10-26
262;"1955";"livres";2014-07-31;2014-08-28
262;"1186";"livres";2014-07-31;2014-08-28
241;"P2086";"CD";2014-08-19;2014-09-02
35;"AED2014AVR";"revues";2014-05-20;2014-05-27
196;"4068";"livres";2008-10-16;2008-11-13
196;"2280";"livres";2008-10-16;2008-11-13
262;"1568";"livres";2014-04-22;2014-05-20
196;"4078";"livres";2008-10-16;2008-11-13
157;"F2103";"CD";2014-07-08;2014-07-22
196;"436";"livres";2009-12-21;2010-01-18
