209;"SIMON S.";"MOSCOU";"947";NULL;NULL;NULL;NULL
211;"TERRAZ C.";"LE SKI DE FOND";"796";NULL;NULL;NULL;NULL
212;"THOMAS L.";"LE BAL DES CELLULES";"574";NULL;NULL;NULL;NULL
213;"FAY S ET AL";"LA MORT DE VENISE";"910";NULL;NULL;NULL;NULL
214;"VECKERT";"LA PSYCHOLOGIE";"131";NULL;NULL;NULL;NULL
215;"VAILLANT J. R.";"PROTECTION DE LA QUALITE DES EAUX A MAITRISE DE";"303";NULL;NULL;NULL;NULL
216;"LOUYOT M.";"LA ROUMANIE";"914";NULL;NULL;NULL;NULL
217;"VAN LUTTERVELT";"MUSEE DE HOLLANDE";"708";NULL;NULL;NULL;NULL
218;"";"LE JOURNAL HISTORIQUE DE L'ALSACE : T 5";"940";NULL;NULL;NULL;NULL
219;"VARTIER J.";"LA VIE QUOTIDIENNE EN LORRAINE AU XIX° SIECLE";"302";NULL;NULL;NULL;NULL
220;"VICTOROFF D.";"PSYCHOLOGIE DE LA PUBLICITE";"659";NULL;NULL;NULL;NULL
221;"VIGOUREUX T.";"LE DERIVEUR EN TROIS JOURS";"796";NULL;NULL;NULL;NULL
223;"WHITE K.";"LA ROUTE BLEUE";"810";NULL;NULL;NULL;NULL
224;"WALKER J.";"LA NATIONAL GALLERY - WASHINGTON";"708";NULL;NULL;NULL;NULL
225;"ZIMMER BRADLEY M.";"LES DAMES DU LAC";"810";NULL;NULL;NULL;NULL
226;"YERU M.";"BRICOLAGE PRATIQUE";"684";NULL;NULL;NULL;NULL
227;"DANINOS P.";"LA COMPOSITION D'HISTOIRE";"808";NULL;NULL;NULL;NULL
228;"ZIEGLER J.";"MAIN BASSE SUR L'AFRIQUE";"320";NULL;NULL;NULL;NULL
229;"ZILBERTIN";"LE SKI DE FOND";"796";NULL;NULL;NULL;NULL
230;"GONNET J.";"LE JOURNAL ET L'ECOLE";"70";NULL;NULL;NULL;NULL
231;"BARBAUD";"HAYDN";"780";NULL;NULL;NULL;NULL
232;"MARABINI";"URSS, PETITE PLANETE";"914";NULL;NULL;NULL;NULL
233;"PARKMAN F.";"LA PISTE DE L'OREGON";"917";NULL;NULL;NULL;NULL
234;"VAUSSON C.";"AUTRICHE";"914";NULL;NULL;NULL;NULL
235;"MONTEIL V.";"MAROC, PETITE PLANETE";"914";NULL;NULL;NULL;NULL
237;"MERMOZ";"L'AUTOGESTION, C'EST PAS DE LA TARTE";"331";NULL;NULL;NULL;NULL
238;"ROUSSELET";"L'ALLERGIE AU TRAVAIL";"331";NULL;NULL;NULL;NULL
239;"ROUSSELET";"SYNDICATS LIBRES EN URSS";"331";NULL;NULL;NULL;NULL
240;"HERZOG";"LA VOIE JACKSON";"808";NULL;NULL;NULL;NULL
241;"LAPIERRE D. - COLLINS L.";"O JERUSALEM";"808";NULL;NULL;NULL;NULL
242;"CROUSSY G.";"LES BLEUETS";"808";NULL;NULL;NULL;NULL
243;"CLAVEL B.";"LA LUMIERE DU LAC";"808";NULL;NULL;NULL;NULL
245;"CHABROL J. P.";"LES REBELLES : L'EMBELLIE";"808";NULL;NULL;NULL;NULL
246;"GIONO J.";"COLLINE";"808";NULL;NULL;NULL;NULL
247;"BUCK P.";"LA MERE";"809";NULL;NULL;NULL;NULL
248;"SPIELBERG S.";"RENCONTRES DU 3° TYPE";"SF 810";NULL;NULL;NULL;NULL
249;"PAGNOL M.";"LE TEMPS DES AMOURS";"808";NULL;NULL;NULL;NULL
250;"SOLJENITSYNE A.";"LE PREMIER CERCLE SERVICE";"301";NULL;NULL;NULL;NULL
251;"FOURNIER A.";"LE GRAND MEAULNES";"808";NULL;NULL;NULL;NULL
252;"RECHER J.";"LE GRAND METIER";"301";NULL;NULL;NULL;NULL
253;"NATOLI L.";"LA MORT A MESSINE";"850";NULL;NULL;NULL;NULL
254;"LEGRIX D.";"NEE COMME CA : T 2 - L'ESPOIR TRIOMPHE";"920";NULL;NULL;NULL;NULL
255;"CONCHON G.";"L'ETAT SAUVAGE";"808";NULL;NULL;NULL;NULL
257;"JENTEL L. M.";"VERS UNE CIVILISATION DU COUPLE";"301";NULL;NULL;NULL;NULL
258;"DROIT M.";"LES FEUX DU CREPUSCULE";"320";NULL;NULL;NULL;NULL
259;"CHABROL J. P.";"LES REBELLES : LA GUEUSE";"808";NULL;NULL;NULL;NULL
260;"SOLJENITSYNE A.";"LE PAVILLON DES CANCEREUX";"301";NULL;NULL;NULL;NULL
263;"PANIZZA O.";"JOURNAL D'UN CHIEN";"830";NULL;NULL;NULL;NULL
267;"BOURNIQUEL C.";"TEMPO";"808";NULL;NULL;NULL;NULL
268;"CAGNATI I.";"GENIE LA FOLLE";"808";NULL;NULL;NULL;NULL
269;"CAGNATI I.";"LE JOUR DE CONGE";"808";NULL;NULL;NULL;NULL
270;"ZILBERTIN";"GUIDE DE LA MONTAGNE";"796";NULL;NULL;NULL;NULL
271;"INFELD L.";"ROMAN D'EVARISTE GALOIS";"208";NULL;NULL;NULL;NULL
273;"VINCENT R.";"MOLINI OU L'INDE DES FEMMES";"301";NULL;NULL;NULL;NULL
274;"";"L'AVENIR EN MARCHE";"370";NULL;NULL;NULL;NULL
276;"FRANCK A.";"LE JOURNAL D'ANNE FRANCK";"920";NULL;NULL;NULL;NULL
277;"BERLOQUIN P.";"100 JEUX DE TABLE";"790";NULL;NULL;NULL;NULL
278;"BAGOT J.";"MILAREPA";"149";NULL;NULL;NULL;NULL
279;"FAUTSCH A.";"MANUEL DE DROIT PUBLIC ET PRIVE";"346";NULL;NULL;NULL;NULL
280;"FAUTSCH A.";"MANUEL DE DROIT PUBLIC ET PRIVE";"342";NULL;NULL;NULL;NULL
281;"HAMBURGER J.";"LA PUISSANCE ET LA FRAGILITE";"574";NULL;NULL;NULL;NULL
283;"DE ROBIEN T.";"LE TESTAMENT DE PRINCETON";"808";NULL;NULL;NULL;NULL
284;"MALLET JORIS F.";"LE JEU DU SOUTERRAIN";"808";NULL;NULL;NULL;NULL
285;"BROYELLE C.";"LA MOITIE DU CIEL";"301";NULL;NULL;NULL;NULL
286;"DICKENS - FRUTTERO - LUCENTINI";"L'AFFAIRE OU LE CRIME DU FAUX VAGABOND";"850";NULL;NULL;NULL;NULL
287;"SIMENON G.";"L'HOMME DE LONDRES";"P 808";NULL;NULL;NULL;NULL
289;"CALVINS";"LE CORBEAU VIENT LE DERNIER";"850";NULL;NULL;NULL;NULL
290;"MAC CAFFREY A.";"LA PLANETE DES DINOSAURES";"SF 810";NULL;NULL;NULL;NULL
291;"LEPAGNOL C.";"BIOGRAPHIES DU PERE NOEL";"922";NULL;NULL;NULL;NULL
292;"WALKER M.";"JUBILEE";"809";NULL;NULL;NULL;NULL
293;"IONESCO";"LE SOLITAIRE";"808";NULL;NULL;NULL;NULL
294;"CLAVEL B.";"LES FRUITS DE L'HIVER";"808";NULL;NULL;NULL;NULL
295;"BRANDYS K.";"EN POLOGNE, C'EST-A-DIRE NULLE PART";"808";NULL;NULL;NULL;NULL
296;"GRASS G.";"LA CHAT ET LA SOURIS";"808";NULL;NULL;NULL;NULL
297;"WEIT E.";"ERWIN DANS L'OMBRE DE GROMULKA";"300";NULL;NULL;NULL;NULL
298;"BAZIN H.";"AU NOM DU FILS";"808";NULL;NULL;NULL;NULL
299;"BUZZATI D.";"LE DESERT DES TARTARES";"850";NULL;NULL;NULL;NULL
300;"BUZZATI D.";"LE REVE DE L'ESCALIER";"850";NULL;NULL;NULL;NULL
301;"STIL A.";"DIEU EST UN ENFANT";"808";NULL;NULL;NULL;NULL
302;"AUGUSTE P.";"LA PLOMBERIE";"684";NULL;NULL;NULL;NULL
303;"GUTH P.";"SAINT NAIF";"847";NULL;NULL;NULL;NULL
304;"SCIASCIA L.";"L'AFFAIRE MORO";"329";NULL;NULL;NULL;NULL
305;"CHABOT M.";"L'ESCARBILLE - HISTOIRE D'UN OUVRIER VERRIER";"305";NULL;NULL;NULL;NULL
306;"KEHAYAN";"RUE DU PROLETAIRE ROUGE";"301";NULL;NULL;NULL;NULL
307;"BRIERE-BLANCHET";"IRAN, LA REVOLUTION AU NOM DE DIEU";"307";NULL;NULL;NULL;NULL
308;"PURDY J.";"JE SUIS VIVANT DANS MA TOMBE";"809";NULL;NULL;NULL;NULL
309;"NOUCHY Y.";"PENSE-BETE DU FUTUR COPROPRIETAIRE";"346";NULL;NULL;NULL;NULL
310;"FERRANE J. F.";"LE PENSIONNAIRE";"808";NULL;NULL;NULL;NULL
311;"GREEN G.";"HOLOCAUSTE";"809";NULL;NULL;NULL;NULL
312;"VINCENOT H.";"LE BILLEBAUDE";"808";NULL;NULL;NULL;NULL
315;"SEIGNOLLE";"CONTES POPULAIRES ET LEGENDES DU VAL DE LOIRE";"398";NULL;NULL;NULL;NULL
316;"SEIGNOLLE";"CONTES POPULAIRES ET LEGENDES DU LANGUEDOC ET DU R";"398";NULL;NULL;NULL;NULL
317;"SEIGNOLLE";"CONTES POPULAIRES ET LEGENDES DU LIMOUSIN";"398";NULL;NULL;NULL;NULL
318;"LOTI P.";"PECHEUR D'ISLANDE";"808";NULL;NULL;NULL;NULL
320;"KIELY C.";"L'ENERGIE SOLAIRE";"621";NULL;NULL;NULL;NULL
321;"HSIA CHIK YEN";"UN HIVER FROID A PEKIN";"890";NULL;NULL;NULL;NULL
